seq,date,cumulative,new,formatted_date
1,26/03/20,694,88,200326
2,27/03/20,724,30,200327
3,28/03/20,909,185,200328
4,29/03/20,1024,115,200329
5,30/03/20,1205,181,200330
6,31/03/20,1359,154,200331
7,01/04/20,1834,475,200401
8,02/04/20,2069,235,200402
9,03/04/20,2470,401,200403
10,04/04/20,3072,602,200404
11,05/04/20,3577,505,200405
12,06/04/20,4281,704,200406
13,07/04/20,4789,508,200407
14,08/04/20,5274,485,200408
15,09/04/20,5865,591,200409
16,10/04/20,6761,896,200410
17,11/04/20,7529,768,200411
18,12/04/20,8447,918,200412
19,13/04/20,9352,905,200413
20,14/04/20,10815,1463,200414
21,15/04/20,11933,1118,200415
22,16/04/20,12759,826,200416
23,17/04/20,14378,1619,200417
24,18/04/20,15712,1334,200418
25,19/04/20,16116,404,200419
26,20/04/20,18601,2485,200420
27,21/04/20,18985,384,200421
28,22/04/20,20471,1486,200422
29,23/04/20,23077,2606,200423
30,24/04/20,24506,1429,200424
31,25/04/20,24893,387,200425
32,26/04/20,27892,2999,200426
33,27/04/20,28160,268,200427
34,28/04/20,29834,1674,200428
35,29/04/20,31709,1875,200429
36,30/04/20,33050,1341,200430
37,01/05/20,34752,1702,200501
38,02/05/20,34972,220,200502
39,03/05/20,37671,2699,200503
40,04/05/20,40124,2453,200504
41,05/05/20,42836,2712,200505
42,06/05/20,46711,3875,200506
43,07/05/20,49391,2680,200507
44,08/05/20,52952,3561,200508
45,09/05/20,56342,3390,200509
46,10/05/20,59662,3320,200510
47,11/05/20,62939,3277,200511
48,12/05/20,70756,7817,200512
49,13/05/20,74281,3525,200513
50,14/05/20,78003,3722,200514
51,15/05/20,81970,3967,200515
52,16/05/20,85710,3740,200516
53,17/05/20,90927,5217,200517
54,18/05/20,90927,0,200518
55,19/05/20,101139,10212,200519
56,20/05/20,101139,0,200520
57,21/05/20,112359,11220,200521
58,22/05/20,118447,6088,200522
59,23/05/20,118447,0,200523
60,24/05/20,131868,13421,200524
61,25/05/20,138845,6977,200525
62,26/05/20,145380,6535,200526
63,27/05/20,151767,6387,200527
64,28/05/20,158333,6566,200528
65,29/05/20,158333,0,200529
66,30/05/20,173763,15430,200530
67,31/05/20,182143,8380,200531
68,01/06/20,190535,8392,200601
69,02/06/20,198706,8171,200602
70,03/06/20,207615,8909,200603
71,04/06/20,216919,9304,200604
72,05/06/20,226770,9851,200605
73,06/06/20,236657,9887,200606
74,07/06/20,246628,9971,200607
75,08/06/20,256611,9983,200608
76,09/06/20,266598,9987,200609
77,10/06/20,276583,9985,200610
78,11/06/20,286579,9996,200611
79,12/06/20,297535,10956,200612
80,13/06/20,308993,11458,200613
81,14/06/20,320922,11929,200614
82,15/06/20,332424,11502,200615
83,16/06/20,343091,10667,200616
84,17/06/20,354065,10974,200617
85,18/06/20,366946,12881,200618
86,19/06/20,380532,13586,200619
87,20/06/20,395048,14516,200620
88,21/06/20,410461,15413,200621
89,22/06/20,425282,14821,200622
90,23/06/20,440215,14933,200623
91,24/06/20,456183,15968,200624
92,25/06/20,473105,16922,200625
93,26/06/20,490401,17296,200626
94,27/06/20,508953,18552,200627
95,28/06/20,528859,19906,200628
96,29/06/20,548318,19459,200629
97,30/06/20,566840,18522,200630
98,01/07/20,585493,18653,200701
99,02/07/20,604641,19148,200702
100,03/07/20,625544,20903,200703
101,04/07/20,648315,22771,200704
102,05/07/20,673165,24850,200705
103,06/07/20,697413,24248,200706
104,07/07/20,719665,22252,200707
105,08/07/20,742417,22752,200708
106,09/07/20,767296,24879,200709
107,10/07/20,793802,26506,200710
108,11/07/20,820916,27114,200711
109,12/07/20,849553,28637,200712
110,13/07/20,878254,28701,200713
111,14/07/20,906752,28498,200714
112,15/07/20,936181,29429,200715
113,16/07/20,968876,32695,200716
114,17/07/20,1003832,34956,200717
115,18/07/20,1038716,34884,200718
116,19/07/20,1077618,38902,200719
117,20/07/20,1118043,40425,200720
118,21/07/20,1155191,37148,200721
119,22/07/20,1192915,37724,200722
120,23/07/20,1238635,45720,200723
121,24/07/20,1287945,49310,200724
122,25/07/20,1336861,48916,200725
123,26/07/20,1385522,48661,200726
124,27/07/20,1435453,49931,200727
125,28/07/20,1483156,47703,200728
