seq,date,cumulative,new
1,26/03/20,694,88
2,27/03/20,724,30
3,28/03/20,909,185
4,29/03/20,1024,115
5,30/03/20,1205,181
6,31/03/20,1359,154
7,01/04/20,1834,475
8,02/04/20,2069,235
9,03/04/20,2470,401
10,04/04/20,3072,602
11,05/04/20,3577,505
12,06/04/20,4281,704
13,07/04/20,4789,508
14,08/04/20,5274,485
15,09/04/20,5865,591
16,10/04/20,6761,896
17,11/04/20,7529,768
18,12/04/20,8447,918
19,13/04/20,9352,905
20,14/04/20,10815,1463
21,15/04/20,11933,1118
22,16/04/20,12759,826
23,17/04/20,14378,1619
24,18/04/20,15712,1334
25,19/04/20,16116,404
26,20/04/20,18601,2485
27,21/04/20,18985,384
28,22/04/20,20471,1486
29,23/04/20,23077,2606
30,24/04/20,24506,1429
31,25/04/20,24893,387
32,26/04/20,27892,2999
33,27/04/20,28160,268
34,28/04/20,29834,1674
35,29/04/20,31709,1875
36,30/04/20,33050,1341
37,01/05/20,34752,1702
38,02/05/20,34972,220
39,03/05/20,37671,2699
40,04/05/20,40124,2453
41,05/05/20,42836,2712
42,06/05/20,46711,3875
43,07/05/20,49391,2680
44,08/05/20,52952,3561
45,09/05/20,56342,3390
46,10/05/20,59662,3320
47,11/05/20,62939,3277
48,12/05/20,70756,7817
49,13/05/20,74281,3525
50,14/05/20,78003,3722
51,15/05/20,81970,3967
52,16/05/20,85710,3740
53,17/05/20,90927,5217
54,18/05/20,90927,0
55,19/05/20,101139,10212
56,20/05/20,101139,0
57,21/05/20,112359,11220
58,22/05/20,118447,6088
59,23/05/20,118447,0
60,24/05/20,131868,13421
61,25/05/20,138845,6977
62,26/05/20,145380,6535
63,27/05/20,151767,6387
64,28/05/20,158333,6566
65,29/05/20,158333,0
66,30/05/20,173763,15430
67,31/05/20,182143,8380
68,01/06/20,190535,8392
69,02/06/20,198706,8171
70,03/06/20,207615,8909
71,04/06/20,216919,9304
72,05/06/20,226770,9851
73,06/06/20,236657,9887
74,07/06/20,246628,9971
75,08/06/20,256611,9983
76,09/06/20,266598,9987
77,10/06/20,276583,9985
78,11/06/20,286579,9996
79,12/06/20,297535,10956
80,13/06/20,308993,11458
81,14/06/20,320922,11929
82,15/06/20,332424,11502
83,16/06/20,343091,10667
84,17/06/20,354065,10974
85,18/06/20,366946,12881
86,19/06/20,380532,13586
87,20/06/20,395048,14516
88,21/06/20,410461,15413
89,22/06/20,425282,14821
90,23/06/20,440215,14933
91,24/06/20,456183,15968
92,25/06/20,473105,16922
93,26/06/20,490401,17296
94,27/06/20,508953,18552
95,28/06/20,528859,19906
96,29/06/20,548318,19459
97,30/06/20,566840,18522
98,01/07/20,585493,18653
99,02/07/20,604641,19148
100,03/07/20,625544,20903
101,04/07/20,648315,22771
102,05/07/20,673165,24850
103,06/07/20,697413,24248
104,07/07/20,719665,22252
105,08/07/20,742417,22752
106,09/07/20,767296,24879
107,10/07/20,793802,26506
108,11/07/20,820916,27114
109,12/07/20,849553,28637
110,13/07/20,878254,28701
111,14/07/20,906752,28498
112,15/07/20,936181,29429
113,16/07/20,968876,32695
114,17/07/20,1003832,34956
115,18/07/20,1038716,34884
116,19/07/20,1077618,38902
117,20/07/20,1118043,40425
118,21/07/20,1155191,37148
119,22/07/20,1192915,37724
120,23/07/20,1238635,45720
121,24/07/20,1287945,49310
122,25/07/20,1336861,48916
123,26/07/20,1385522,48661
124,27/07/20,1435453,49931
125,28/07/20,1483156,47703
